repeat,variant,fork_mode,stage,role,process_index,threads,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
1,native,lazy,settled,worker,16,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22468,0
1,stock,preload,forked,master,0,1,46908,9648,6736,2912,2387,5349,4124,2612,12012,28160,8754,0
1,stock,preload,forked,worker,1,1,34304,2664,736,1928,2382,273,0,736,5464,28104,277,0
1,stock,preload,forked,worker,2,1,34304,2664,736,1928,2382,273,0,736,5464,28104,277,0
1,stock,preload,forked,worker,3,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,4,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,5,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,6,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,7,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,8,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,9,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,10,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,11,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,12,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,13,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,14,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,15,1,34304,2661,732,1929,2378,273,0,732,5464,28108,277,0
1,stock,preload,forked,worker,16,1,34304,2659,728,1931,2376,273,0,728,5464,28112,277,0
1,stock,preload,warmed,master,0,1,46908,21864,19752,2112,17515,2922,2036,17716,14100,13056,8754,0
1,stock,preload,warmed,worker,1,1,58048,30266,28712,1554,29409,811,0,28712,17252,12084,7530,0
1,stock,preload,warmed,worker,2,1,57920,30259,28712,1547,29407,806,0,28712,17128,12080,7543,0
1,stock,preload,warmed,worker,3,1,57920,30260,28712,1548,29409,805,0,28712,17120,12088,7547,0
1,stock,preload,warmed,worker,4,1,58048,30261,28708,1553,29404,811,0,28708,17252,12088,7530,0
1,stock,preload,warmed,worker,5,1,58020,30259,28708,1551,29404,809,0,28708,17224,12088,7535,0
1,stock,preload,warmed,worker,6,1,57948,30251,28704,1547,29400,806,0,28704,17156,12088,7541,0
1,stock,preload,warmed,worker,7,1,57948,30251,28704,1547,29400,806,0,28704,17156,12088,7542,0
1,stock,preload,warmed,worker,8,1,57820,30245,28704,1541,29401,799,0,28704,17024,12092,7544,0
1,stock,preload,warmed,worker,9,1,57720,30253,28716,1537,29412,796,0,28716,16916,12088,7561,0
1,stock,preload,warmed,worker,10,1,58020,30255,28704,1551,29400,810,0,28704,17228,12088,7536,0
1,stock,preload,warmed,worker,11,1,57984,30255,28704,1551,29400,810,0,28704,17192,12088,7542,0
1,stock,preload,warmed,worker,12,1,57948,30260,28712,1548,29408,807,0,28712,17152,12084,7544,0
1,stock,preload,warmed,worker,13,1,57884,30247,28704,1543,29400,802,0,28704,17092,12088,7543,0
1,stock,preload,warmed,worker,14,1,57548,30228,28704,1524,29400,783,0,28704,16756,12088,7559,2
1,stock,preload,warmed,worker,15,1,57924,30221,28700,1521,29396,808,0,28700,17192,12032,7534,0
1,stock,preload,warmed,worker,16,1,58048,30264,28712,1552,29408,811,0,28712,17252,12084,7531,0
1,stock,preload,after_equal_work,master,0,1,46908,21866,19756,2110,17519,2920,2036,17720,14100,13052,8754,0
1,stock,preload,after_equal_work,worker,1,1,103728,75949,74396,1553,75093,811,0,74396,17252,12080,18951,0
1,stock,preload,after_equal_work,worker,2,1,103604,75942,74396,1546,75091,806,0,74396,17128,12080,18964,0
1,stock,preload,after_equal_work,worker,3,1,103596,75938,74392,1546,75088,805,0,74392,17120,12084,18967,0
1,stock,preload,after_equal_work,worker,4,1,103732,75948,74396,1552,75092,811,0,74396,17252,12084,18952,0
1,stock,preload,after_equal_work,worker,5,1,103700,75942,74392,1550,75088,809,0,74392,17224,12084,18956,0
1,stock,preload,after_equal_work,worker,6,1,103632,75938,74392,1546,75088,805,0,74392,17156,12084,18963,0
1,stock,preload,after_equal_work,worker,7,1,103632,75938,74392,1546,75088,805,0,74392,17156,12084,18964,0
1,stock,preload,after_equal_work,worker,8,1,103508,75937,74396,1541,75094,799,0,74396,17024,12088,18967,0
1,stock,preload,after_equal_work,worker,9,1,103392,75928,74392,1536,75088,795,0,74392,16916,12084,18980,0
1,stock,preload,after_equal_work,worker,10,1,103704,75943,74392,1551,75088,810,0,74392,17228,12084,18958,0
1,stock,preload,after_equal_work,worker,11,1,103668,75943,74392,1551,75088,810,0,74392,17192,12084,18964,0
1,stock,preload,after_equal_work,worker,12,1,103628,75939,74392,1547,75088,806,0,74392,17152,12084,18964,0
1,stock,preload,after_equal_work,worker,13,1,103568,75934,74392,1542,75088,801,0,74392,17092,12084,18965,0
1,stock,preload,after_equal_work,worker,14,1,103232,75916,74392,1524,75088,783,0,74392,16756,12084,18981,2
1,stock,preload,after_equal_work,worker,15,1,103612,75912,74392,1520,75088,808,0,74392,17192,12028,18957,0
1,stock,preload,after_equal_work,worker,16,1,103728,75944,74392,1552,75088,811,0,74392,17252,12084,18951,0
1,stock,preload,settled,master,0,1,46908,21866,19756,2110,17519,2920,2036,17720,14100,13052,8754,0
1,stock,preload,settled,worker,1,1,103728,75950,74396,1554,75093,811,0,74396,17252,12080,18951,0
1,stock,preload,settled,worker,2,1,103604,75942,74396,1546,75091,806,0,74396,17128,12080,18964,0
1,stock,preload,settled,worker,3,1,103596,75938,74392,1546,75088,805,0,74392,17120,12084,18967,0
1,stock,preload,settled,worker,4,1,103732,75948,74396,1552,75092,811,0,74396,17252,12084,18952,0
1,stock,preload,settled,worker,5,1,103700,75942,74392,1550,75088,809,0,74392,17224,12084,18956,0
1,stock,preload,settled,worker,6,1,103632,75938,74392,1546,75088,806,0,74392,17156,12084,18963,0
1,stock,preload,settled,worker,7,1,103632,75938,74392,1546,75088,805,0,74392,17156,12084,18964,0
1,stock,preload,settled,worker,8,1,103508,75937,74396,1541,75094,799,0,74396,17024,12088,18967,0
1,stock,preload,settled,worker,9,1,103392,75928,74392,1536,75088,795,0,74392,16916,12084,18980,0
1,stock,preload,settled,worker,10,1,103704,75943,74392,1551,75088,810,0,74392,17228,12084,18958,0
1,stock,preload,settled,worker,11,1,103668,75943,74392,1551,75088,810,0,74392,17192,12084,18964,0
1,stock,preload,settled,worker,12,1,103628,75939,74392,1547,75088,806,0,74392,17152,12084,18964,0
1,stock,preload,settled,worker,13,1,103568,75934,74392,1542,75088,801,0,74392,17092,12084,18965,0
1,stock,preload,settled,worker,14,1,103232,75916,74392,1524,75088,783,0,74392,16756,12084,18981,2
1,stock,preload,settled,worker,15,1,103612,75913,74392,1521,75088,808,0,74392,17192,12028,18957,0
1,stock,preload,settled,worker,16,1,103728,75944,74392,1552,75088,811,0,74392,17252,12084,18951,0
1,native,preload,forked,master,0,1,53396,11271,8056,3215,2607,6753,5428,2628,13720,31620,9631,0
1,native,preload,forked,worker,1,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
1,native,preload,forked,worker,2,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
1,native,preload,forked,worker,3,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
1,native,preload,forked,worker,4,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
1,native,preload,forked,worker,5,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
1,native,preload,forked,worker,6,1,37780,2880,748,2132,2597,273,0,748,5464,31568,282,0
